# redshift	D_L [Mpc]	Age [yr]
5.47947234e-03	2.43805955e+01	1.37080156e+10
5.59432571e-03	2.48938026e+01	1.37063692e+10
5.71158648e-03	2.54178588e+01	1.37046886e+10
5.83130511e-03	2.59529953e+01	1.37029730e+10
5.95353313e-03	2.64994484e+01	1.37012218e+10
6.07832313e-03	2.70574595e+01	1.36994342e+10
6.20572881e-03	2.76272754e+01	1.36976095e+10
6.33580499e-03	2.82091480e+01	1.36957469e+10
6.46860766e-03	2.88033348e+01	1.36938456e+10
6.60419396e-03	2.94100988e+01	1.36919049e+10
6.74262224e-03	3.00297089e+01	1.36899238e+10
6.88395207e-03	3.06624398e+01	1.36879017e+10
7.02824426e-03	3.13085721e+01	1.36858376e+10
7.17556092e-03	3.19683926e+01	1.36837306e+10
7.32596543e-03	3.26421942e+01	1.36815800e+10
7.47952252e-03	3.33302764e+01	1.36793848e+10
7.63629826e-03	3.40329452e+01	1.36771441e+10
7.79636013e-03	3.47505132e+01	1.36748570e+10
7.95977700e-03	3.54833000e+01	1.36725224e+10
8.12661920e-03	3.62316319e+01	1.36701396e+10
8.29695852e-03	3.69958428e+01	1.36677073e+10
8.47086827e-03	3.77762735e+01	1.36652247e+10
8.64842328e-03	3.85732726e+01	1.36626907e+10
8.82969996e-03	3.93871962e+01	1.36601043e+10
9.01477631e-03	4.02184083e+01	1.36574644e+10
9.20373200e-03	4.10672808e+01	1.36547699e+10
9.39664831e-03	4.19341939e+01	1.36520197e+10
9.59360829e-03	4.28195363e+01	1.36492126e+10
9.79469667e-03	4.37237050e+01	1.36463475e+10
1.00000000e-02	4.46471061e+01	1.36434233e+10
1.02096066e-02	4.55901545e+01	1.36404386e+10
1.04236067e-02	4.65532743e+01	1.36373923e+10
1.06420924e-02	4.75368990e+01	1.36342832e+10
1.08651577e-02	4.85414718e+01	1.36311099e+10
1.10928986e-02	4.95674457e+01	1.36278712e+10
1.13254132e-02	5.06152838e+01	1.36245657e+10
1.15628013e-02	5.16854595e+01	1.36211920e+10
1.18051653e-02	5.27784567e+01	1.36177489e+10
1.20526094e-02	5.38947702e+01	1.36142348e+10
1.23052400e-02	5.50349059e+01	1.36106484e+10
1.25631660e-02	5.61993809e+01	1.36069882e+10
1.28264983e-02	5.73887238e+01	1.36032527e+10
1.30953502e-02	5.86034754e+01	1.35994404e+10
1.33698374e-02	5.98441883e+01	1.35955497e+10
1.36500781e-02	6.11114277e+01	1.35915791e+10
1.39361927e-02	6.24057715e+01	1.35875269e+10
1.42283046e-02	6.37278105e+01	1.35833915e+10
1.45265393e-02	6.50781491e+01	1.35791713e+10
1.48310251e-02	6.64574051e+01	1.35748645e+10
1.51418933e-02	6.78662106e+01	1.35704694e+10
1.54592774e-02	6.93052115e+01	1.35659843e+10
1.57833141e-02	7.07750690e+01	1.35614072e+10
1.61141428e-02	7.22764588e+01	1.35567365e+10
1.64519059e-02	7.38100723e+01	1.35519702e+10
1.67967487e-02	7.53766166e+01	1.35471064e+10
1.71488197e-02	7.69768147e+01	1.35421431e+10
1.75082703e-02	7.86114066e+01	1.35370785e+10
1.78752553e-02	8.02811488e+01	1.35319105e+10
1.82499324e-02	8.19868153e+01	1.35266369e+10
1.86324631e-02	8.37291979e+01	1.35212558e+10
1.90230119e-02	8.55091068e+01	1.35157651e+10
1.94217468e-02	8.73273705e+01	1.35101624e+10
1.98288395e-02	8.91848368e+01	1.35044457e+10
2.02444651e-02	9.10823731e+01	1.34986126e+10
