# redshift	D_L [Mpc]	Age [yr]
2.19959307e-03	9.52912910e+00	1.37379215e+10
2.24569800e-03	9.72921695e+00	1.37372732e+10
2.29276931e-03	9.93351363e+00	1.37366114e+10
2.34082728e-03	1.01421080e+01	1.37359358e+10
2.38989257e-03	1.03550908e+01	1.37352460e+10
2.43998630e-03	1.05725546e+01	1.37345419e+10
2.49113003e-03	1.07945942e+01	1.37338230e+10
2.54334576e-03	1.10213062e+01	1.37330891e+10
2.59665597e-03	1.12527892e+01	1.37323399e+10
2.65108360e-03	1.14891441e+01	1.37315751e+10
2.70665207e-03	1.17304739e+01	1.37307942e+10
2.76338529e-03	1.19768837e+01	1.37299971e+10
2.82130768e-03	1.22284809e+01	1.37291833e+10
2.88044415e-03	1.24853751e+01	1.37283526e+10
2.94082017e-03	1.27476785e+01	1.37275045e+10
3.00246171e-03	1.30155054e+01	1.37266387e+10
3.06539530e-03	1.32889726e+01	1.37257548e+10
3.12964801e-03	1.35681996e+01	1.37248525e+10
3.19524751e-03	1.38533081e+01	1.37239314e+10
3.26222201e-03	1.41444228e+01	1.37229910e+10
3.33060034e-03	1.44416707e+01	1.37220310e+10
3.40041193e-03	1.47451818e+01	1.37210510e+10
3.47168682e-03	1.50550888e+01	1.37200506e+10
3.54445567e-03	1.53715270e+01	1.37190293e+10
3.61874981e-03	1.56946350e+01	1.37179867e+10
3.69460121e-03	1.60245540e+01	1.37169223e+10
3.77204249e-03	1.63614285e+01	1.37158358e+10
3.85110700e-03	1.67054060e+01	1.37147266e+10
3.93182876e-03	1.70566370e+01	1.37135943e+10
4.01424249e-03	1.74152756e+01	1.37124384e+10
4.09838367e-03	1.77814789e+01	1.37112584e+10
4.18428851e-03	1.81554074e+01	1.37100538e+10
4.27199397e-03	1.85372252e+01	1.37088242e+10
4.36153779e-03	1.89270998e+01	1.37075689e+10
4.45295851e-03	1.93252023e+01	1.37062874e+10
4.54629547e-03	1.97317077e+01	1.37049793e+10
4.64158883e-03	2.01467944e+01	1.37036439e+10
4.73887961e-03	2.05706448e+01	1.37022808e+10
4.83820966e-03	2.10034455e+01	1.37008892e+10
4.93962174e-03	2.14453867e+01	1.36994687e+10
5.04315949e-03	2.18966630e+01	1.36980186e+10
5.14886745e-03	2.23574731e+01	1.36965384e+10
5.25679112e-03	2.28280199e+01	1.36950273e+10
5.36697695e-03	2.33085108e+01	1.36934849e+10
5.47947234e-03	2.37991578e+01	1.36919103e+10
5.59432571e-03	2.43001771e+01	1.36903030e+10
5.71158648e-03	2.48117901e+01	1.36886623e+10
5.83130511e-03	2.53342225e+01	1.36869875e+10
5.95353313e-03	2.58677053e+01	1.36852778e+10
6.07832313e-03	2.64124743e+01	1.36835327e+10
6.20572881e-03	2.69687704e+01	1.36817513e+10
6.33580499e-03	2.75368399e+01	1.36799328e+10
6.46860766e-03	2.81169342e+01	1.36780766e+10
6.60419396e-03	2.87093104e+01	1.36761819e+10
6.74262224e-03	2.93142311e+01	1.36742478e+10
6.88395207e-03	2.99319647e+01	1.36722736e+10
7.02824426e-03	3.05627853e+01	1.36702584e+10
7.17556092e-03	3.12069732e+01	1.36682014e+10
7.32596543e-03	3.18648145e+01	1.36661017e+10
7.47952252e-03	3.25366020e+01	1.36639585e+10
7.63629826e-03	3.32226345e+01	1.36617708e+10
7.79636013e-03	3.39232175e+01	1.36595378e+10
7.95977700e-03	3.46386633e+01	1.36572585e+10
8.12661920e-03	3.53692908e+01	1.36549320e+10
8.29695852e-03	3.61154262e+01	1.36525573e+10
8.47086827e-03	3.68774026e+01	1.36501334e+10
8.64842328e-03	3.76555606e+01	1.36476593e+10
8.82969996e-03	3.84502482e+01	1.36451341e+10
9.01477631e-03	3.92618211e+01	1.36425565e+10
9.20373200e-03	4.00906428e+01	1.36399256e+10
9.39664831e-03	4.09370850e+01	1.36372403e+10
9.59360829e-03	4.18015274e+01	1.36344995e+10
9.79469667e-03	4.26843582e+01	1.36317021e+10
1.00000000e-02	4.35859742e+01	1.36288468e+10
1.02096066e-02	4.45067808e+01	1.36259325e+10
1.04236067e-02	4.54471928e+01	1.36229581e+10
1.06420924e-02	4.64076339e+01	1.36199222e+10
1.08651577e-02	4.73885372e+01	1.36168237e+10
1.10928986e-02	4.83903456e+01	1.36136612e+10
1.13254132e-02	4.94135118e+01	1.36104335e+10
1.15628013e-02	5.04584987e+01	1.36071393e+10
1.18051653e-02	5.15257792e+01	1.36037772e+10
1.20526094e-02	5.26158373e+01	1.36003458e+10
1.23052400e-02	5.37291673e+01	1.35968437e+10
1.25631660e-02	5.48662750e+01	1.35932695e+10
1.28264983e-02	5.60276773e+01	1.35896217e+10
1.30953502e-02	5.72139027e+01	1.35858989e+10
1.33698374e-02	5.84254919e+01	1.35820995e+10
1.36500781e-02	5.96629974e+01	1.35782221e+10
1.39361927e-02	6.09269843e+01	1.35742649e+10
1.42283046e-02	6.22180306e+01	1.35702265e+10
1.45265393e-02	6.35367272e+01	1.35661051e+10
1.48310251e-02	6.48836784e+01	1.35618992e+10
1.51418933e-02	6.62595023e+01	1.35576069e+10
1.54592774e-02	6.76648309e+01	1.35532267e+10
1.57833141e-02	6.91003107e+01	1.35487567e+10
1.61141428e-02	7.05666029e+01	1.35441951e+10
1.64519059e-02	7.20643837e+01	1.35395402e+10
1.67967487e-02	7.35943448e+01	1.35347899e+10
1.71488197e-02	7.51571937e+01	1.35299425e+10
1.75082703e-02	7.67536541e+01	1.35249960e+10
1.78752553e-02	7.83844664e+01	1.35199484e+10
1.82499324e-02	8.00503879e+01	1.35147978e+10
1.86324631e-02	8.17521935e+01	1.35095419e+10
1.90230119e-02	8.34906757e+01	1.35041789e+10
1.94217468e-02	8.52666454e+01	1.34987066e+10
1.98288395e-02	8.70809325e+01	1.34931227e+10
2.02444651e-02	8.89343857e+01	1.34874251e+10
2.06688025e-02	9.08278738e+01	1.34816115e+10
2.11020343e-02	9.27622856e+01	1.34756798e+10
